"Timestamp","delta time","Address","Data","Input","comments"
96.758771s,0.001035s,0000:020e,0x004,A,
96.759813s,0.001042s,0000:020f,0x088,A,
96.934094s,0.174281s,0000:0210,0x0B5,A,
96.935136s,0.001042s,0000:0211,0x0B5,A,
96.936998s,0.001862s,0000:0212,0x037,B,
96.938039s,0.001041s,0000:0213,0x033,B,
96.939074s,0.001035s,0000:0214,0x006,B,
96.940110s,0.001036s,0000:0215,0x070,B,
97.295351s,0.355241s,0000:0216,0x08E,A,
97.296393s,0.001042s,0000:0217,0x03C,A,
97.297428s,0.001035s,0000:0218,0x0CA,A,
97.474834s,0.177406s,0000:0219,0x092,A,
97.475869s,0.001035s,0000:021a,0x014,A,
97.476910s,0.001041s,0000:021b,0x0A6,A,
97.655560s,0.178650s,0000:021c,0x083,A, command: send countdown timer.
97.656601s,0.001041s,0000:021d,0x001,A,
97.657643s,0.001042s,0000:021e,0x003,A,
97.658685s,0.001042s,0000:021f,0x087,A,
97.836605s,0.177920s,0000:0220,0x0B5,A,
97.837646s,0.001041s,0000:0221,0x0B5,A,
98.739213s,0.901567s,0000:0222,0x083,A,
98.740255s,0.001042s,0000:0223,0x001,A,
98.741297s,0.001042s,0000:0224,0x002,A,
98.742332s,0.001035s,0000:0225,0x086,A,
98.917452s,0.175120s,0000:0226,0x0B5,A,
98.918488s,0.001036s,0000:0227,0x0B5,A,
98.920356s,0.001868s,0000:0228,0x077,B,
98.921391s,0.001035s,0000:0229,0x03C,B,
98.922426s,0.001035s,0000:022a,0x014,B,
98.923461s,0.001035s,0000:022b,0x0C7,B,
99.638085s,0.714624s,0000:022c,0x083,A, command: send countdown timer.
99.639120s,0.001035s,0000:022d,0x001,A,
99.640162s,0.001042s,0000:022e,0x001,A,
99.641203s,0.001041s,0000:022f,0x085,A,
99.818394s,0.177191s,0000:0230,0x0B5,A,
99.819436s,0.001042s,0000:0231,0x0B5,A,
100.723503s,0.904067s,0000:0232,0x083,A, command: send countdown timer.
100.724544s,0.001041s,0000:0233,0x001,A,   one minute
100.725586s,0.001042s,0000:0234,0x000,A,   zero seconds! 
100.726621s,0.001035s,0000:0235,0x084,A,
100.902881s,0.176260s,0000:0236,0x0B5,A,
100.903923s,0.001042s,0000:0237,0x0B5,A,
100.905856s,0.001933s,0000:0238,0x077,B,
100.906891s,0.001035s,0000:0239,0x03C,B,
100.907927s,0.001036s,0000:023a,0x014,B,
100.908962s,0.001035s,0000:023b,0x0C7,B,
101.622472s,0.713510s,0000:023c,0x083,A, command: send countdown timer.
101.623513s,0.001041s,0000:023d,0x000,A,   zero minutes.  fun fact - FF minutes is four hours
101.624555s,0.001042s,0000:023e,0x059,A,   59 seconds!
101.625597s,0.001042s,0000:023f,0x0DC,A,
101.802788s,0.177191s,0000:0240,0x0B5,A,
101.803829s,0.001041s,0000:0241,0x0B5,A,
101.805769s,0.001940s,0000:0242,0x037,B,
101.806805s,0.001036s,0000:0243,0x03C,B,
101.807840s,0.001035s,0000:0244,0x014,B,
101.808875s,0.001035s,0000:0245,0x087,B,
102.704778s,0.895903s,0000:0246,0x083,A,
102.705813s,0.001035s,0000:0247,0x000,A,
102.706854s,0.001041s,0000:0248,0x058,A,
102.707896s,0.001042s,0000:0249,0x0DB,A,
102.886337s,0.178441s,0000:024a,0x0B5,A,
102.887379s,0.001042s,0000:024b,0x0B5,A,
102.889306s,0.001927s,0000:024c,0x037,B,
102.890341s,0.001035s,0000:024d,0x03C,B,
102.891376s,0.001035s,0000:024e,0x014,B,
102.892411s,0.001035s,0000:024f,0x087,B,
103.605824s,0.713413s,0000:0250,0x083,A,
103.606865s,0.001041s,0000:0251,0x000,A,
103.607907s,0.001042s,0000:0252,0x057,A,
103.608948s,0.001041s,0000:0253,0x0DA,A,
103.786140s,0.177192s,0000:0254,0x0B5,A,
103.787181s,0.001041s,0000:0255,0x0B5,A,
103.789017s,0.001836s,0000:0256,0x037,B,
103.790052s,0.001035s,0000:0257,0x03C,B,
103.791087s,0.001035s,0000:0258,0x014,B,
103.792122s,0.001035s,0000:0259,0x087,B,
104.147494s,0.355372s,0000:025a,0x08E,A,
104.148536s,0.001042s,0000:025b,0x02D,A,
104.149577s,0.001041s,0000:025c,0x0BB,A,
104.328018s,0.178441s,0000:025d,0x092,A,
104.329060s,0.001042s,0000:025e,0x01E,A,
104.330102s,0.001042s,0000:025f,0x0B0,A,
104.687296s,0.357194s,0000:0260,0x083,A,
104.688338s,0.001042s,0000:0261,0x000,A,
104.689373s,0.001035s,0000:0262,0x056,A,
104.690415s,0.001042s,0000:0263,0x0D9,A,
104.866675s,0.176260s,0000:0264,0x0B5,A,
104.867716s,0.001041s,0000:0265,0x0B5,A,
105.769908s,0.902192s,0000:0266,0x083,A,
105.770950s,0.001042s,0000:0267,0x000,A,
105.771991s,0.001041s,0000:0268,0x055,A,
105.773026s,0.001035s,0000:0269,0x0D8,A,
105.950432s,0.177406s,0000:026a,0x0B5,A,
105.951467s,0.001035s,0000:026b,0x0B5,A,
106.671690s,0.720223s,0000:026c,0x083,A,
106.672725s,0.001035s,0000:026d,0x000,A,
106.673766s,0.001041s,0000:026e,0x054,A,
106.674808s,0.001042s,0000:026f,0x0D7,A,
106.849089s,0.174281s,0000:0270,0x0B5,A,
106.850131s,0.001042s,0000:0271,0x0B5,A,
107.753364s,0.903233s,0000:0272,0x083,A,
107.754406s,0.001042s,0000:0273,0x000,A,
107.755447s,0.001041s,0000:0274,0x053,A,
107.756482s,0.001035s,0000:0275,0x0D6,A,
107.932638s,0.176156s,0000:0276,0x0B5,A,
107.933680s,0.001042s,0000:0277,0x0B5,A,
108.653166s,0.719486s,0000:0278,0x083,A,
108.654208s,0.001042s,0000:0279,0x000,A,
108.655250s,0.001042s,0000:027a,0x052,A,
108.656285s,0.001035s,0000:027b,0x0D5,A,
108.832545s,0.176260s,0000:027c,0x0B5,A,
108.833587s,0.001042s,0000:027d,0x0B5,A,
109.734535s,0.900948s,0000:027e,0x083,A,
109.735570s,0.001035s,0000:027f,0x000,A,
109.736612s,0.001042s,0000:0280,0x051,A,
109.737653s,0.001041s,0000:0281,0x0D4,A,
109.913080s,0.175427s,0000:0282,0x0B5,A,
109.914122s,0.001042s,0000:0283,0x0B5,A,
110.637560s,0.723438s,0000:0284,0x083,A,
110.638602s,0.001042s,0000:0285,0x000,A,
110.639637s,0.001035s,0000:0286,0x050,A,
110.640678s,0.001041s,0000:0287,0x0D3,A,
110.817980s,0.177302s,0000:0288,0x0B5,A,
110.819015s,0.001035s,0000:0289,0x0B5,A,
110.820929s,0.001914s,0000:028a,0x037,B,
110.821964s,0.001035s,0000:028b,0x02D,B,
110.823000s,0.001036s,0000:028c,0x01E,B,
110.824035s,0.001035s,0000:028d,0x082,B,
111.176216s,0.352181s,0000:028e,0x08E,A,
111.177258s,0.001042s,0000:028f,0x03C,A,
111.178293s,0.001035s,0000:0290,0x0CA,A,
111.717053s,0.538760s,0000:0291,0x083,A,
111.718095s,0.001042s,0000:0292,0x000,A,
111.719130s,0.001035s,0000:0293,0x049,A,
111.720172s,0.001042s,0000:0294,0x0CC,A,
111.897474s,0.177302s,0000:0295,0x0B5,A,
111.898509s,0.001035s,0000:0296,0x0B5,A,
111.900371s,0.001862s,0000:0297,0x037,B,
111.901406s,0.001035s,0000:0298,0x03C,B,
111.902441s,0.001035s,0000:0299,0x01E,B,
111.903476s,0.001035s,0000:029a,0x091,B,
112.621016s,0.717540s,0000:029b,0x083,A,
112.622058s,0.001042s,0000:029c,0x000,A,
112.623093s,0.001035s,0000:029d,0x048,A,
112.624134s,0.001041s,0000:029e,0x0CB,A,
112.801436s,0.177302s,0000:029f,0x0B5,A,
112.802471s,0.001035s,0000:02a0,0x0B5,A,
112.804405s,0.001934s,0000:02a1,0x037,B,
112.805440s,0.001035s,0000:02a2,0x03C,B,
112.806475s,0.001035s,0000:02a3,0x01E,B,
112.807510s,0.001035s,0000:02a4,0x091,B,
113.700509s,0.892999s,0000:02a5,0x083,A,
113.701551s,0.001042s,0000:02a6,0x000,A,
113.702593s,0.001042s,0000:02a7,0x047,A,
113.703628s,0.001035s,0000:02a8,0x0CA,A,
113.880930s,0.177302s,0000:02a9,0x0B5,A,
113.881965s,0.001035s,0000:02aa,0x0B5,A,
113.883827s,0.001862s,0000:02ab,0x037,B,
113.884862s,0.001035s,0000:02ac,0x03C,B,
113.885897s,0.001035s,0000:02ad,0x01E,B,
113.886932s,0.001035s,0000:02ae,0x091,B,
114.601458s,0.714526s,0000:02af,0x083,A,
114.602499s,0.001041s,0000:02b0,0x000,A,
